"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Mir669n","Group_safe",0.382703237493573,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.257934283190332,-1.95492455401481
"Mir6769b","Group_safe",0.759283197891093,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.68953287561367,0.756624423318145
"Mir677","Group_safe",0.432139173111045,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.505850020883073,-0.983218390207626
"Mir682","Group_safe",0.754580429592126,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.9377384134489,-0.092742562607743
"Mir684-1","Group_safe",0.826397595890456,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.09621901922759,0.132536070548412
"Mir687","Group_safe",0.414665804661558,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",2.94189415592232,1.55674534194526
"Mir688","Group_safe",0.992525026047703,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.98774339790099,-0.0177917966581777
"Mir6909","Group_safe",0.1366377500763,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",5.10316957757081,2.35139358306198
"Mir6913","Group_safe",0.994264508569125,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.990581952297749,-0.0136517585584094
"Mir6929","Group_safe",0.319185800596956,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.334335519015911,-1.58063146327622
"Mir6931","Group_safe",0.255841407457892,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.707371562710198,-0.499459872967021
"Mir6935","Group_safe",0.12339085857395,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.678566877593504,-0.559437084375514
"Mir6939","Group_safe",0.445584379530655,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.476709669579114,-1.06881720555623
"Mir6941","Group_safe",0.49982017314783,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",2.54376458262563,1.34696515993274
"Mir6942","Group_safe",0.970215740891438,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.948591597312028,-0.0761410059027274
"Mir6945","Group_safe",0.392834749397941,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.77309569356592,0.826270400256614
"Mir6948","Group_safe",0.40415033671361,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.60175775113636,0.679655971928068
"Mir6951","Group_safe",0.78141838823746,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.611213548727517,-0.710251571040283
"Mir6954","Group_safe",0.970215740891438,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.948591597312028,-0.0761410059027274
"Mir6955","Group_safe",0.593943449087813,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.704491847027867,-0.505345084336163
"Mir6960","Group_safe",0.74696739221758,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.576135493407896,-0.795519955649945
"Mir6966","Group_safe",0.791860839800699,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.59845231899453,0.676675709913802
"Mir697","Group_safe",0.477793317237013,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.40813893028602,0.493789680670312
"Mir6976","Group_safe",0.442512922058584,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.516074731368713,-0.954348101392908
"Mir6984","Group_safe",0.356209213134484,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.296314380949749,-1.75479944894114
"Mir6990","Group_safe",0.524441253510996,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.72718656744542,-0.459602544501192
"Mir6993","Group_safe",0.581782284937086,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.72443901579251,0.786127109274599
"Mir6998","Group_safe",0.523520709730174,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.363660919172645,-1.45933420001283
"Mir6999","Group_safe",0.540022042455362,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.66163864236393,0.732606672389665
"Mir7-1","Group_safe",0.728799372101035,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.10852882066541,0.148646279353204
"Mir7001","Group_safe",0.830168436803356,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.918058891896953,-0.123341391877356
"Mir7013","Group_safe",0.0976848746289247,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.331836437532987,-1.59145578375365
"Mir7014","Group_safe",0.391534045024239,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",2.0023092641826,1.00166482104911
"Mir7022","Group_safe",0.780681611210979,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.59396051612953,0.672615892885701
"Mir7025","Group_safe",0.207407266239712,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.288927725096866,-1.79121944536151
"Mir7026","Group_safe",0.782142895185673,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.22292374045269,0.290334442539895
"Mir7027","Group_safe",0.687636784347627,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.746337114819618,-0.422100662770455
"Mir7028","Group_safe",0.994423135967221,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.990007419764131,-0.0144887571528899
"Mir703","Group_safe",0.943478867807577,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.02767286086284,0.0393810844513098
"Mir7030","Group_safe",0.512482418472157,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.578575608652318,-0.789422590869898
"Mir7031","Group_safe",0.990750426258182,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.988629646080124,-0.0164979256021775
"Mir7035","Group_safe",0.768936740057563,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.611581928735188,-0.709382316882735
"Mir7041","Group_safe",0.687279123227583,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.7341931314237,0.7942645757406
